Group,Method,NoiseLevel,MeanProbability,StdProbability,CorrectRate
converter,conditioning_noise,0.0,0.3893076378107071,0.027842531595028596,1.0
converter,conditioning_noise,0.05,0.390156130194664,0.11299879991862426,0.78
converter,conditioning_noise,0.1,0.36770019590854647,0.1804195893737144,0.66
converter,conditioning_noise,0.2,0.46695046676322816,0.2683637762224737,0.7
converter,conditioning_noise,0.3,0.38360306383954595,0.29531562605717343,0.56
converter,edge_perturbation,0.0,0.38930764436721804,0.027842541535751438,1.0
converter,edge_perturbation,0.05,0.40271095097064974,0.1304021248298201,0.82
converter,edge_perturbation,0.1,0.3619817972742021,0.15833074282304624,0.7
converter,edge_perturbation,0.2,0.32433949859812855,0.18348866555800114,0.54
converter,edge_perturbation,0.3,0.3039390688529238,0.18290669667321152,0.48
converter,feature_noise,0.0,0.38930765211582186,0.027842509205153063,1.0
converter,feature_noise,0.05,0.3855422878265381,0.04746941279266903,0.9
converter,feature_noise,0.1,0.4005287197232246,0.06930095465441852,0.88
converter,feature_noise,0.2,0.4367107497155666,0.15728694986531236,0.84
converter,feature_noise,0.3,0.4461375354230404,0.1551646345662809,0.8
converter,matrix_noise_rebuild,0.0,0.4631294711306691,0.253370551219165,0.8
converter,matrix_noise_rebuild,0.05,0.4712800099514425,0.25357777240801227,0.8
converter,matrix_noise_rebuild,0.1,0.4738822339102626,0.25678125671965507,0.76
converter,matrix_noise_rebuild,0.2,0.5128711641859263,0.27625769992341725,0.76
converter,matrix_noise_rebuild,0.3,0.49139140042476354,0.29567298630786304,0.74
non_converter,conditioning_noise,0.0,0.06237472580047324,0.11505213064788958,1.0
non_converter,conditioning_noise,0.05,0.06021746770886239,0.11517199004417374,0.92
non_converter,conditioning_noise,0.1,0.06540246203832795,0.13758896683862434,0.9
non_converter,conditioning_noise,0.2,0.04007483171538297,0.0911496649334207,0.96
non_converter,conditioning_noise,0.3,0.0920089448224462,0.2466876028232767,0.9
non_converter,edge_perturbation,0.0,0.06237472420092672,0.11505212694435678,1.0
non_converter,edge_perturbation,0.05,0.07788176201516762,0.15841695153335808,0.88
non_converter,edge_perturbation,0.1,0.04964003566885367,0.09608524633224727,0.96
non_converter,edge_perturbation,0.2,0.049745232057757674,0.10593180814850893,0.98
non_converter,edge_perturbation,0.3,0.04796087284339592,0.09415221249015517,0.96
non_converter,feature_noise,0.0,0.06237472248962149,0.11505212479367465,1.0
non_converter,feature_noise,0.05,0.062459031119942665,0.11687551094290045,0.94
non_converter,feature_noise,0.1,0.05985848436830565,0.11705406061542772,0.96
non_converter,feature_noise,0.2,0.0633144546370022,0.12468830754299046,0.94
non_converter,feature_noise,0.3,0.10264142895815893,0.21595376897412846,0.86
non_converter,matrix_noise_rebuild,0.0,0.07279556288383901,0.11378727496422626,1.0
non_converter,matrix_noise_rebuild,0.05,0.07993075591512025,0.13226280418485087,0.82
non_converter,matrix_noise_rebuild,0.1,0.07788132927380502,0.12659646578226064,0.88
non_converter,matrix_noise_rebuild,0.2,0.0928557236166671,0.15838375003414792,0.84
non_converter,matrix_noise_rebuild,0.3,0.1130141689768061,0.19925394402364463,0.82
