Group,Method,NoiseLevel,MeanProbability,StdProbability,CorrectRate
converter,conditioning_noise,0.0,0.25884866297245024,0.00024342316694709538,1.0
converter,conditioning_noise,0.05,0.2584509015083313,0.014147235410427688,0.54
converter,conditioning_noise,0.1,0.2615707093477249,0.026523032723309737,0.58
converter,conditioning_noise,0.2,0.23767922908067704,0.052978635224641385,0.38
converter,conditioning_noise,0.3,0.24007102236151695,0.06710949178088729,0.44
converter,edge_perturbation,0.0,0.25884866535663603,0.00024342398145494134,1.0
converter,edge_perturbation,0.05,0.26372881889343264,0.004536737735485056,0.96
converter,edge_perturbation,0.1,0.2675253731012344,0.007015891413767131,0.96
converter,edge_perturbation,0.2,0.27479605793952944,0.009849204178197131,0.98
converter,edge_perturbation,0.3,0.27575145483016966,0.011066787159283968,0.96
converter,feature_noise,0.0,0.25884866058826445,0.00024342271169904827,1.0
converter,feature_noise,0.05,0.2589049243927002,0.00047647538123931043,0.94
converter,feature_noise,0.1,0.25883805751800537,0.001014263161863026,0.72
converter,feature_noise,0.2,0.2594306880235672,0.0015278864113325078,0.78
converter,feature_noise,0.3,0.2591361117362976,0.003113781961149001,0.66
converter,matrix_noise_rebuild,0.0,0.23723462253808975,0.013162818885521956,0.2
converter,matrix_noise_rebuild,0.05,0.23842394471168518,0.01219753601466526,0.18
converter,matrix_noise_rebuild,0.1,0.23840772330760956,0.012055993468966342,0.2
converter,matrix_noise_rebuild,0.2,0.24047950476408006,0.012089909944733579,0.14
converter,matrix_noise_rebuild,0.3,0.24427964955568313,0.010539418459786289,0.16
non_converter,conditioning_noise,0.0,0.24715640187263488,0.00607859101375679,1.0
non_converter,conditioning_noise,0.05,0.2471071571111679,0.01851397161224169,0.72
non_converter,conditioning_noise,0.1,0.24940161257982255,0.027223989306330895,0.54
non_converter,conditioning_noise,0.2,0.24303004652261734,0.053807793180957894,0.54
non_converter,conditioning_noise,0.3,0.2254769314825535,0.06820949309602153,0.62
non_converter,edge_perturbation,0.0,0.24715640425682067,0.006078592093794624,1.0
non_converter,edge_perturbation,0.05,0.24981455475091935,0.007277666914205716,0.8
non_converter,edge_perturbation,0.1,0.25224408119916913,0.007289291623220306,0.8
non_converter,edge_perturbation,0.2,0.2552231988310814,0.008965151522549467,0.72
non_converter,edge_perturbation,0.3,0.257096903026104,0.01129388958781256,0.66
non_converter,feature_noise,0.0,0.24715640723705293,0.0060785924130731485,1.0
non_converter,feature_noise,0.05,0.2471885260939598,0.006103319557844328,0.98
non_converter,feature_noise,0.1,0.24709067732095719,0.0062564634857262625,0.98
non_converter,feature_noise,0.2,0.24766069680452346,0.006632509084586342,0.92
non_converter,feature_noise,0.3,0.24730934143066408,0.007254464316124848,0.9
non_converter,matrix_noise_rebuild,0.0,0.22514152705669402,0.012296171088691885,1.0
non_converter,matrix_noise_rebuild,0.05,0.22608714371919633,0.012043216787762153,1.0
non_converter,matrix_noise_rebuild,0.1,0.22675125658512116,0.01271852967881975,1.0
non_converter,matrix_noise_rebuild,0.2,0.2288014131784439,0.012166406004600552,1.0
non_converter,matrix_noise_rebuild,0.3,0.2318144714832306,0.012620027467040497,1.0
